39.33333333,50.33333333,50,48,58,55,50,50.33333333,53.66666667,54,52.66666667,54,51,53,33.66666667,56.33333333,54.66666667,56.85,59
46.66666667,41.66666667,34.33333333,40.66666667,39,41.33333333,42.33333333,43.33333333,46.66666667,51,47.66666667,49.33333333,50.66666667,51,49.66666667,53,53,55.33333333,56
46.66666667,39,50.33333333,40.33333333,51,57,53.33333333,53.33333333,57.33333333,51.33333333,60,52.33333333,50,53.66666667,58,55.33333333,56.66666667,55.66666667,48
39.66666667,45.66666667,42.33333333,44.33333333,46,43,49.66666667,47.33333333,43.33333333,45.33333333,45,52,51,47,47,50.33333333,51.33333333,52,55.33333333
50,42,33,37.66666667,46,40.33333333,46.33333333,43.66666667,51.66666667,54.66666667,49,49.33333333,49.33333333,52,54,54,52.66666667,53.66666667,54
50.33333333,50,48.33333333,51,56,52.66666667,54.66666667,51,52,53.66666667,51,54.33333333,55,53.66666667,59,54.33333333,61,60,58
49.33333333,47.66666667,48.66666667,51,49.33333333,50,50.66666667,50.66666667,53,54.33333333,55,56,54.5,53,55,52,52.66666667,55.33333333,52
48.66666667,45.66666667,52,53,52.66666667,50.66666667,55,47,51.33333333,56,55,51,56,53,50,57,56,53,59
55.66666667,49.66666667,53.33333333,53.33333333,53.33333333,52,53.33333333,53,46,52,54,55,55.66666667,53,53,58.66666667,55.66666667,55.66666667,62
52,53,50,52.66666667,53,55,49,55.66666667,53.66666667,53.66666667,55,53,54.33333333,58.33333333,58,55,55.33333333,55,59
54.33333333,55,59,51,54.33333333,53.66666667,56,54,56.66666667,54,54.66666667,61,54.66666667,55,54.33333333,61,55.66666667,56.33333333,56.66666667
58,49.66666667,51.66666667,64,59,48.66666667,55,53.33333333,49,54,52.33333333,55.33333333,51,59.66666667,58.66666667,58.66666667,55,61,55.66666667
51.66666667,49.66666667,51.33333333,56.33333333,48.66666667,49,46,57.33333333,55,52.33333333,56.33333333,54.33333333,54.33333333,55.66666667,57,58.66666667,58.66666667,55,54.66666667
