loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2021-04-09 11:28:52.551 -0400,0,0,0,0,0,0,0,0,0,12816.52223841667,0.208648681640625,0.0520477294921875,-0.9964141845703125,12816.50212741667,2.532382662049677,0.146394078774429,-0.07432382107801136,0.07503505796194077,-0.04105872288346291,0.002272837329655886,-0.0909494012594223,0.00988151878118515,0.02996832132339478,XArbitraryZVertical,-0.08083000223619131,-0.01342986051237782,0.9499393464582235,0.3014988553120558,0.1454690247774124,0.07425541430711746,-0.9865723252296448,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.590 -0400,0,0,0,0,0,0,0,0,0,12816.55743641667,0.1486358642578125,0.07098388671875,-1.034576416015625,12816.53227841667,2.532644091265313,0.1477937403215649,-0.07396406295677939,0.006964046042412519,-0.01865621469914913,-0.04104915633797646,0.06745600700378418,0.00195477157831192,-0.01258355379104614,XArbitraryZVertical,-0.08143977878004641,-0.01305834515393702,0.9499322621828225,0.3013733365082232,0.1468536704778671,0.07389663904905319,-0.9863941073417664,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.623 -0400,0,0,0,0,0,0,0,0,0,12816.59264241667,0.1417388916015625,0.07244873046875,-0.9972076416015625,12816.56246041667,2.532303192931353,0.1479606855746043,-0.07407575754957814,0.01127794664353132,-0.0118061751127243,0.02694531157612801,0.001618728041648865,-0.003024175763130188,-0.04821503162384033,XArbitraryZVertical,-0.08153784762338413,-0.01307243861773568,0.9498708012041346,0.3015395740140306,0.1470171213150024,0.0740080326795578,-0.9863613843917847,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.630 -0400,0,0,0,0,0,0,0,0,0,12816.62781041667,0.1329498291015625,0.0790557861328125,-0.9914093017578125,12816.59264241667,2.532719746903387,0.1457671804487926,-0.07277127365631628,0.007717599160969257,-0.04670878499746323,0.01101509667932987,-0.004593044519424438,-0.003020197153091431,-0.01204890012741089,XArbitraryZVertical,-0.0803000249747135,-0.01279920230260381,0.9500595258791131,0.3012891583826679,0.1448670923709869,0.07270706444978714,-0.9867761731147766,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.636 -0400,0,0,0,0,0,0,0,0,0,12816.66302741667,0.1332855224609375,0.0965118408203125,-0.9900665283203125,12816.65295641667,2.532497075238386,0.143614159512699,-0.07276194364994963,0.04853054136037827,-0.03282785788178444,-0.01285827904939651,-0.01021973788738251,0.02128109335899353,-0.004414379596710205,XArbitraryZVertical,-0.07927730807795873,-0.01311026994887403,0.9501121281972026,0.3013807160308369,0.1427423059940338,0.07269775867462158,-0.9870864748954773,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.642 -0400,0,0,0,0,0,0,0,0,0,12816.69821441667,0.1201324462890625,0.080596923828125,-0.98248291015625,12816.68313841667,2.531441563653048,0.1425585730933919,-0.07078529142501105,0.06764421612024307,-0.02088845521211624,-0.03796221688389778,-0.01592697203159332,0.01777474582195282,0.001369237899780273,XArbitraryZVertical,-0.07848932112263858,-0.01228731005192472,0.9500495165024497,0.3018186889101577,0.1417203992605209,0.0707261934876442,-0.987376868724823,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.648 -0400,0,0,0,0,0,0,0,0,0,12816.73340041667,0.1300811767578125,0.079132080078125,-0.9716033935546875,12816.71328941667,2.529734811711323,0.1421717981631452,-0.06957131250460531,0.04504155740141869,0.01582338288426399,-0.06728866696357727,-0.01641161739826202,0.01932144165039062,0.01128911972045898,XArbitraryZVertical,-0.07813530149047947,-0.01170140448789712,0.9498400124964946,0.3025922855096535,0.1413505673408508,0.06951520591974258,-0.987515926361084,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.652 -0400,0,0,0,0,0,0,0,0,0,12816.76861841667,0.1476287841796875,0.0777130126953125,-0.9915924072265625,12816.74347141667,2.527460343985271,0.1427741930955578,-0.06923195941357189,0.05355890095233917,0.04421981051564217,-0.06365854293107986,-0.009456709027290344,0.01442620903253555,0.0147060751914978,XArbitraryZVertical,-0.07838381784748971,-0.01135971772201258,0.94948091845403,0.3036659734343441,0.1419487595558167,0.06917666643857956,-0.9874538779258728,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.658 -0400,0,0,0,0,0,0,0,0,0,12816.80380441667,0.1364288330078125,0.0721435546875,-0.975555419921875,12816.80380441667,2.523212199459983,0.1428435295314645,-0.06765744018368619,0.02455963939428329,0.02190311439335346,-0.06007158011198044,-0.00175851583480835,0.005178563296794891,0.008561968803405762,XArbitraryZVertical,-0.0782036959982815,-0.01043444144482088,0.9488736926414939,0.3056370936131774,0.1420325487852097,0.06760583817958832,-0.9875506162643433,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.664 -0400,0,0,0,0,0,0,0,0,0,12816.83902241667,0.1292877197265625,0.0751495361328125,-0.975006103515625,12816.83398641667,2.521316423066376,0.1433957622120282,-0.06828720410316602,-0.002485891804099083,0.04046936333179474,-0.06042714789509773,-0.01108680665493011,0.001620560884475708,0.01181322336196899,XArbitraryZVertical,-0.07857052680995619,-0.01057481232482382,0.9485449675130325,0.3065575365718891,0.1425717771053314,0.0682341456413269,-0.987429678440094,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.671 -0400,0,0,0,0,0,0,0,0,0,12816.87420941667,0.1355438232421875,0.07843017578125,-0.9893798828125,12816.86413841667,2.519548173624044,0.1449825522382487,-0.06852883440297124,0.02285588346421719,0.0543745644390583,-0.050540991127491,-0.01728974282741547,0.01251841336488724,0.006915509700775146,XArbitraryZVertical,-0.07936874967786438,-0.01037619629560331,0.9482042775771068,0.3074113063236418,0.144136056303978,0.06847520917654037,-0.9871858954429626,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.707 -0400,0,0,0,0,0,0,0,0,0,12816.90939541667,0.13970947265625,0.0859832763671875,-0.981719970703125,12816.89432041667,2.517854066748642,0.1463564752649653,-0.06776457185073617,0.05983716249465942,0.04243965074419975,-0.04388189315795898,-0.007178917527198792,0.01700404286384583,-0.01235127449035645,XArbitraryZVertical,-0.07991273089426944,-0.009734425958264258,0.9479096769774963,0.3081987511184625,0.1454998254776001,0.06771272420883179,-0.9870383739471436,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.743 -0400,0,0,0,0,0,0,0,0,0,12816.94461341667,0.1599884033203125,0.0743255615234375,-1.0013427734375,12816.92450241667,2.515821153100696,0.1469069187310222,-0.06631977490938906,0.06102711334824562,0.02544235251843929,-0.06936156749725342,-0.003036677837371826,0.01386795192956924,0.002358496189117432,XArbitraryZVertical,-0.07996343437497973,-0.008882468992903205,0.9476131905066351,0.3091217915572074,0.1460572779178619,0.06627117097377777,-0.9870539307594299,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.778 -0400,0,0,0,0,0,0,0,0,0,12816.97979941667,0.154296875,0.081451416015625,-0.9819183349609375,12816.95465341667,2.51311093245487,0.1464969923170842,-0.06593886922908454,0.01212365552783012,0.001531079411506653,-0.09532996267080307,0.01308083534240723,0.00774778425693512,-0.01287662982940674,XArbitraryZVertical,-0.07972301575493372,-0.00865703803087131,0.9472200830306999,0.3103925234259797,0.1456563174724579,0.0658910945057869,-0.987138569355011,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.812 -0400,0,0,0,0,0,0,0,0,0,12817.01501741667,0.1537322998046875,0.063018798828125,-0.98541259765625,12816.98483541667,2.510303930987674,0.1462774449184039,-0.06700520822729185,-0.001930622616782784,0.004192047752439976,-0.08665209263563156,0.008867591619491577,0.01449630409479141,0.005182147026062012,XArbitraryZVertical,-0.0797949039153321,-0.009084955300477109,0.9467633559434475,0.3117522087569802,0.1454292684793472,0.0669550821185112,-0.9871004819869995,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
2021-04-09 11:28:52.915 -0400,0,0,0,0,0,0,0,0,0,12817.05020341667,0.1422119140625,0.0589599609375,-0.97943115234375,12817.04516841667,2.506199313333678,0.1460099000933509,-0.06738875767164154,0.02232068777084351,-0.01053217984735966,-0.05656541138887405,0.01038664579391479,-0.007630161941051483,-0.001655638217926025,XArbitraryZVertical,-0.0797460835865301,-0.009144874018617438,0.9461217329888397,0.3137046616367951,0.1451614201068878,0.067337766289711,-0.987113893032074,0,0,0,-1,-1,12784.04837404167,unknown,2,2021-04-09 11:28:19.844 -0400,null,0,0,0,0,0,0,0,null,639674930.7325101,0,0.04000092,97.32455,1,0.93
