train7 base datetime,train7,train7 unix times,train7 velocity (m/s)
2021-04-05 21:54:45.000,5.79,1617659690.79,0
2021-04-05 21:54:45.000,11.6,1617659696.60,0.1721170396
2021-04-05 21:54:45.000,17.16,1617659702.16,0.1798561151
2021-04-05 21:54:45.000,21.57,1617659706.57,0.2267573696
2021-04-05 21:54:45.000,26.35,1617659711.35,0.2092050209
2021-04-05 21:54:45.000,31.1,1617659716.10,0.2105263158
2021-04-05 21:54:45.000,35.85,1617659720.85,0.2105263158
2021-04-05 21:54:45.000,39.67,1617659724.67,0.2617801047
2021-04-05 21:54:45.000,44.68,1617659729.68,0.1996007984
2021-04-05 21:54:45.000,48.44,1617659733.44,0.2659574468
2021-04-05 21:54:45.000,54.46,1617659739.46,0.1661129568
2021-04-05 21:54:45.000,59.8,1617659744.80,0.1872659176
2021-04-05 21:54:45.000,0:00,1617659746.00,0.8333333333
