loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_Timestamp_since1970,IP_en0,IP_pdp_ip0,deviceID,deviceOrientationTimeStamp_since1970,deviceOrientation,batteryTimeStamp_since1970,batteryState,batteryLevel,avAudioRecorder_Timestamp_since1970,avAudioRecorderPeakPower,avAudioRecorderAveragePower,label
1617671998.346287,1,0,0,0,0,0,0,0,0,0,1617671998.343021,6.104859352111816,12.43532562255859,-39.61592102050781,304.6791381835938,311.7087097167969,15.44055461883545,1046200.805089417,0.074005126953125,-0.20703125,-0.99371337890625,1046200.773958417,0.1544942408800125,0.1165258139371872,0.05678738281130791,1046200.766821417,17.37214660644531,47.25732421875,-110.6519775390625,1046200.737847417,0.09102718431731235,0.05945872048158658,0.1923920124231703,0.06002188101410866,0.09120123088359833,0.007420985959470272,0.008262045681476593,-0.003998473286628723,-0.008817076683044434,2,0.09455968392225506,0.03392495240394233,0.0481195810977591,0.9937766391288074,0.05832730606198311,-0.1912073194980621,-0.9798151254653931,5.82219409942627,12.55334854125977,-39.69135284423828,-1,2,1046200.738577417,4,2,1617671998.271984,1617670944.349944,44,1.9282,0,0,30.29663,0,0,1617671919.538014,1046197.771647,0,-1.162628,98.15225,0,0,0,0,0,1,1617671998.320898,1,0.16,1617671998.300833,-22.8936,-29.05228,0
1617671998.372762,2,0,0,0,0,0,0,0,0,0,1617671998.363386,6.187676429748535,12.36888122558594,-39.66637420654297,304.5567932128906,311.5863647460938,15.44060802459717,1046200.838712417,0.05718994140625,-0.2079620361328125,-0.9056396484375,1046200.807581417,0.07403668016195297,0.07660742849111557,0.07468968629837036,1046200.826794417,17.64192199707031,47.03079223632812,-110.8019256591797,1046200.797619417,0.09320114337837061,0.06394323044352625,0.2002615258273414,0.09947186708450317,0.02314571477472782,0.07779087126255035,0.01000922918319702,-0.008853405714035034,-0.009323418140411377,2,0.09832232166849302,0.0364258125416034,0.04951866417466622,0.9932542186206544,0.06262260675430298,-0.198925644159317,-0.9780117869377136,6.114178657531738,12.46223449707031,-39.57009124755859,-1,2,1046200.738577417,4,2,1617671998.271984,1617670944.349944,44,1.9282,0,0,30.29663,0,0,1617671919.538014,1046197.771647,0,-1.162628,98.15225,0,0,0,0,0,1,1617671998.320898,1,0.16,1617671998.367391,-22.8936,-29.52128,0
1617671998.402452,3,0,0,0,0,0,0,0,0,0,1617671998.383057,6.491972923278809,12.01466751098633,-39.35733795166016,304.4215698242188,311.4511413574219,15.4406623840332,1046200.87233375,0.0780029296875,-0.1982574462890625,-0.9894866943359375,1046200.841202417,-0.001539839780889452,0.417182594537735,0.07962745428085327,1046200.826794417,17.64192199707031,47.03079223632812,-110.8019256591797,1046200.85739175,0.09782917724764531,0.07870824989425251,0.2016448930172778,0.05221471562981606,0.3996790051460266,0.05119793117046356,-0.001487642526626587,0.003625780344009399,-0.004572153091430664,2,0.09853953438080816,0.04401491084759342,0.0525644162942504,0.9927686943464729,0.07703390717506409,-0.200281172990799,-0.9767053127288818,6.610217094421387,12.01373672485352,-39.37356567382812,-1,2,1046200.738577417,4,2,1617671998.271984,1617670944.349944,44,1.9282,0,0,30.29663,0,0,1617671919.538014,1046197.771647,0,-1.162628,98.15225,0,0,0,0,0,1,1617671998.320898,1,0.16,1617671998.400036,-22.8936,-30.55077,0
1617671998.432396,4,0,0,0,0,0,0,0,0,0,1617671998.422945,6.95461368560791,12.06900024414062,-39.55678558349609,304.2234191894531,311.2529907226562,15.44077110290527,1046200.90595475,0.098052978515625,-0.2038726806640625,-1.018173217773438,1046200.87482375,0.1402806788682938,0.3867133557796478,0.05107330530881882,1046200.88677775,18.42924499511719,46.74716186523438,-110.6992340087891,1046200.85739175,0.09782917724764531,0.07870824989425251,0.2016448930172778,0.05221471562981606,0.3996790051460266,0.05119793117046356,-0.001487642526626587,0.003625780344009399,-0.004572153091430664,2,0.09853953438080816,0.04401491084759342,0.0525644162942504,0.9927686943464729,0.07703390717506409,-0.200281172990799,-0.9767053127288818,6.610217094421387,12.01373672485352,-39.37356567382812,-1,2,1046200.738577417,4,2,1617671998.271984,1617670944.349944,44,1.9282,0,0,30.29663,0,0,1617671919.538014,1046197.771647,0,-1.162628,98.15225,0,0,0,0,0,1,1617671998.320898,1,0.16,1617671998.400036,-22.8936,-30.55077,0
1617671998.472319,5,0,0,0,0,0,0,0,0,0,1617671998.462837,7.528210639953613,11.75878524780273,-39.52191162109375,304.0217895507812,311.0513610839844,15.44116115570068,1046200.93957775,0.095703125,-0.190185546875,-1.003250122070312,1046200.90844675,0.1851240545511246,0.1870010495185852,0.07752355188131332,1046200.88677775,18.42924499511719,46.74716186523438,-110.6992340087891,1046200.91716375,0.100912246492029,0.09503166917303987,0.2111377963717117,0.1540202796459198,0.1497628837823868,0.08562009036540985,0.001410990953445435,0.004280701279640198,-0.03586560487747192,2,0.1027378312499036,0.05248187205298033,0.05509596101373632,0.9917937913703604,0.09278151392936707,-0.2095725685358047,-0.9733811616897583,7.379082679748535,11.82401657104492,-39.54819488525391,-1,2,1046200.738577417,4,2,1617671998.271984,1617670944.349944,44,1.9282,0,0,30.29663,0,0,1617671919.538014,1046197.771647,0,-1.162628,98.15225,0,0,0,0,0,1,1617671998.320898,1,0.16,1617671998.470706,-22.8936,-31.00249,0
1617671998.502291,6,0,0,0,0,0,0,0,0,0,1617671998.482775,7.682467460632324,11.71488952636719,-39.70163726806641,303.9674682617188,310.9970397949219,15.44140338897705,1046200.97319875,0.0982513427734375,-0.1811676025390625,-1.00030517578125,1046200.94206775,0.1083797365427017,0.08728936314582825,0.04267049953341484,1046200.94675775,19.16197204589844,46.39215087890625,-110.9108276367188,1046200.91716375,0.100912246492029,0.09503166917303987,0.2111377963717117,0.1540202796459198,0.1497628837823868,0.08562009036540985,0.001410990953445435,0.004280701279640198,-0.03586560487747192,2,0.1027378312499036,0.05248187205298033,0.05509596101373632,0.9917937913703604,0.09278151392936707,-0.2095725685358047,-0.9733811616897583,7.379082679748535,11.82401657104492,-39.54819488525391,-1,2,1046200.738577417,4,2,1617671998.271984,1617670944.349944,44,1.9282,0,0,30.29663,0,0,1617671919.538014,1046197.771647,0,-1.162628,98.15225,0,0,0,0,0,1,1617671998.320898,1,0.16,1617671998.500806,-22.8936,-31.31643,0
1617671998.542491,7,0,0,0,0,0,0,0,0,0,1617671998.522568,7.832268714904785,11.48734664916992,-39.73381042480469,304.0655517578125,311.0951232910156,15.44188499450684,1046201.00682175,0.096771240234375,-0.2125396728515625,-0.979888916015625,1046200.97568875,0.07781437039375305,0.02476287074387074,-0.06190677732229233,1046201.00674275,19.34274291992188,46.08827209472656,-110.7847290039062,1046200.97693575,0.101623101298966,0.09941135146809425,0.2170704817905975,0.06374368816614151,0.01960219256579876,-0.05931248515844345,-0.0003609880805015564,0.02176615595817566,-0.01725667715072632,2,0.1055402041634523,0.05482396098345932,0.05580353759309331,0.9913333080689281,0.09691860526800156,-0.215369775891304,-0.9717112183570862,7.818366050720215,11.4446907043457,-39.69671630859375,-1,2,1046200.738577417,4,2,1617671998.271984,1617670944.349944,44,1.9282,0,0,30.29663,0,0,1617671919.538014,1046197.771647,0,-1.162628,98.15225,0,0,0,0,0,1,1617671998.320898,1,0.16,1617671998.533471,-22.8936,-30.12053,0
1617671998.577292,8,0,0,0,0,0,0,0,0,0,1617671998.562385,7.918459892272949,11.36508178710938,-39.64835357666016,304.1623229980469,311.19189453125,15.44209098815918,1046201.04044275,0.1069793701171875,-0.220794677734375,-0.995361328125,1046201.00931175,0.1116010993719101,0.05716288834810257,-0.04470142349600792,1046201.00674275,19.34274291992188,46.08827209472656,-110.7847290039062,1046200.97693575,0.101623101298966,0.09941135146809425,0.2170704817905975,0.06374368816614151,0.01960219256579876,-0.05931248515844345,-0.0003609880805015564,0.02176615595817566,-0.01725667715072632,2,0.1055402041634523,0.05482396098345932,0.05580353759309331,0.9913333080689281,0.09691860526800156,-0.215369775891304,-0.9717112183570862,7.818366050720215,11.4446907043457,-39.69671630859375,-1,2,1046200.738577417,4,2,1617671998.271984,1617670944.349944,44,1.9282,0,0,30.29663,0,0,1617671919.538014,1046197.771647,0,-1.162628,98.15225,0,0,0,0,0,1,1617671998.320898,1,0.16,1617671998.577224,-22.8936,-30.43212,0
1617671998.601755,9,0,0,0,0,0,0,0,0,0,1617671998.582431,7.926175117492676,11.20808410644531,-39.76304626464844,304.2043762207031,311.2339477539062,15.44219398498535,1046201.07406375,0.1002960205078125,-0.231109619140625,-0.9462432861328125,1046201.04293275,0.1319958567619324,-0.0355800986289978,-0.02719247154891491,1046201.06672275,19.34001159667969,45.81770324707031,-110.9173126220703,1046201.03670775,0.09840639493250981,0.101837584125662,0.220718201688501,0.1232995018362999,-0.008480659686028957,-0.02104104124009609,0.008516401052474976,-0.001025095582008362,-0.02493548393249512,2,0.1073713065275046,0.05593573594517973,0.05441952623392182,0.9911515111336178,0.09919538348913193,-0.2189304530620575,-0.9706851840019226,7.871508598327637,11.27962112426758,-39.67383575439453,-1,2,1046200.738577417,4,2,1617671998.271984,1617670944.349944,44,1.9282,0,0,30.29663,0,0,1617671919.538014,1046197.771647,0,-1.162628,98.15225,0,0,0,0,0,1,1617671998.320898,1,0.16,1617671998.600825,-22.8936,-30.66724,0
1617671998.645185,10,0,0,0,0,0,0,0,0,0,1617671998.642011,7.809464454650879,11.04916381835938,-39.94460296630859,304.2307739257812,311.2603454589844,15.44237995147705,1046201.10768675,0.0952301025390625,-0.2348480224609375,-0.945220947265625,1046201.07655575,0.03651060536503792,-0.03522270172834396,-0.01704369857907295,1046201.06672275,19.34001159667969,45.81770324707031,-110.9173126220703,1046201.09647975,0.09700314345729445,0.09973371930863685,0.2229115201217392,-0.02228475362062454,0.06422122567892075,0.01144873071461916,-0.002897180616855621,-0.01451049745082855,0.03024137020111084,2,0.1085545696092261,0.05486443216608058,0.05365947026887585,0.9911238523089568,0.09710493683815002,-0.2210700362920761,-0.9704115986824036,7.810385704040527,11.07720565795898,-39.82817840576172,-1,2,1046200.738577417,4,2,1617671998.271984,1617670944.349944,44,1.9282,0,0,30.29663,0,0,1617671919.538014,1046197.771647,0,-1.162628,98.15225,0,0,0,0,0,1,1617671998.320898,1,0.16,1617671998.645149,-22.8936,-31.23956,0
