loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2021-04-05 21:51:48.061 -0400,0,0,0,0,0,0,0,0,0,16185.83885291667,-0.1082916259765625,-0.2276458740234375,-0.9672088623046875,16185.83379791667,2.121566890525497,-0.1022418310879254,0.22548846152248,-0.008307786658406258,-0.05002349615097046,-0.02537582255899906,-0.006934799253940582,-0.008396849036216736,-0.0003451108932495117,XArbitraryZVertical,-0.09916476689936587,-0.07327221589201756,-0.8632578315166295,-0.4894725190361928,-0.0994800478219986,-0.2235824912786484,-0.9695950746536255,0,0,0,-1,-1,16180.22689541667,walking,2,2021-04-05 21:51:42.456 -0400,2021-04-05 19:23:45.401 -0400,774,1.458092,0,0,572.4493,0,0,2021-04-05 21:51:09.036 -0400,639366707.6002516,0,-2.68,98.19874,1,0.64
2021-04-05 21:51:48.092 -0400,0,0,0,0,0,0,0,0,0,16185.87405091667,-0.1034088134765625,-0.232574462890625,-0.955963134765625,16185.86397991667,2.120527474458629,-0.1023278315302872,0.2248900269606855,-0.03211284056305885,-0.006576170213520527,-0.02537836879491806,-0.01080504059791565,-0.004219427704811096,0.01844078302383423,XArbitraryZVertical,-0.09909634647307679,-0.07293968236683357,-0.8630358190731098,-0.4899274601902952,-0.09957708418369293,-0.2229991555213928,-0.969719409942627,0,0,0,-1,-1,16180.22689541667,walking,2,2021-04-05 21:51:42.456 -0400,2021-04-05 19:23:45.401 -0400,774,1.458092,0,0,572.4493,0,0,2021-04-05 21:51:09.036 -0400,639366707.6002516,0,-2.68,98.19874,1,0.64
2021-04-05 21:51:48.131 -0400,0,0,0,0,0,0,0,0,0,16185.90925691667,-0.0984649658203125,-0.2214813232421875,-0.9764251708984375,16185.89416191667,2.119469567272658,-0.1035702316086727,0.2239790599404794,-0.04718326777219772,-0.06501545011997223,-0.04694018512964249,-0.0007140114903450012,-0.009151116013526917,0.008874416351318359,XArbitraryZVertical,-0.09945207322769038,-0.07218706233069495,-0.8627707007178023,-0.4904335918369166,-0.1008027493953705,-0.2221110463142395,-0.9697965979576111,0,0,0,-1,-1,16180.22689541667,walking,2,2021-04-05 21:51:42.456 -0400,2021-04-05 19:23:45.401 -0400,774,1.458092,0,0,572.4493,0,0,2021-04-05 21:51:09.036 -0400,639366707.6002516,0,-2.68,98.19874,1,0.64
2021-04-05 21:51:48.162 -0400,0,0,0,0,0,0,0,0,0,16185.94442391667,-0.091644287109375,-0.2159423828125,-0.9884796142578125,16185.92431291667,2.117765474197944,-0.1050701892672494,0.222359293806149,-0.07204239815473557,-0.05179621279239655,-0.04457664862275124,0.004150301218032837,-0.001331329345703125,-0.008697867393493652,XArbitraryZVertical,-0.09977068550713215,-0.07103089755200113,-0.8623768294230781,-0.4912296705611692,-0.102294884622097,-0.2205314487218857,-0.9700008630752563,0,0,0,-1,-1,16180.22689541667,walking,2,2021-04-05 21:51:42.456 -0400,2021-04-05 19:23:45.401 -0400,774,1.458092,0,0,572.4493,0,0,2021-04-05 21:51:09.036 -0400,639366707.6002516,0,-2.68,98.19874,1,0.64
2021-04-05 21:51:48.203 -0400,0,0,0,0,0,0,0,0,0,16185.97963091667,-0.0926055908203125,-0.21942138671875,-0.9790802001953125,16185.95449491667,2.116482834173957,-0.1066811203370446,0.221160095336408,-0.0337802916765213,-0.02907551638782024,-0.02829739451408386,0.01224110275506973,0.003419250249862671,-0.01838254928588867,XArbitraryZVertical,-0.1002218019479955,-0.07005041688045303,-0.8620542868561801,-0.4918445079102734,-0.1038854420185089,-0.2193616032600403,-0.9700970649719238,0,0,0,-1,-1,16180.22689541667,walking,2,2021-04-05 21:51:42.456 -0400,2021-04-05 19:23:45.401 -0400,774,1.458092,0,0,572.4493,0,0,2021-04-05 21:51:09.036 -0400,639366707.6002516,0,-2.68,98.19874,1,0.64
2021-04-05 21:51:48.233 -0400,0,0,0,0,0,0,0,0,0,16186.01482891667,-0.096893310546875,-0.2147674560546875,-0.9760894775390625,16185.98464691667,2.115824999585552,-0.1069703721449402,0.2210586907286643,-0.01981737092137337,-0.01607021689414978,-0.01379037275910378,0.0116848349571228,-0.001882925629615784,-0.01105105876922607,XArbitraryZVertical,-0.100345060197598,-0.06990229342332815,-0.8618841077816082,-0.4921384389938619,-0.1041684150695801,-0.2192626744508743,-0.9700890779495239,0,0,0,-1,-1,16180.22689541667,walking,2,2021-04-05 21:51:42.456 -0400,2021-04-05 19:23:45.401 -0400,774,1.458092,0,0,572.4493,0,0,2021-04-05 21:51:09.036 -0400,639366707.6002516,0,-2.68,98.19874,1,0.64
2021-04-05 21:51:48.273 -0400,0,0,0,0,0,0,0,0,0,16186.05003491667,-0.0991363525390625,-0.219268798828125,-0.97821044921875,16186.04500991667,2.116375874398786,-0.1066924355947903,0.2206066728747827,0.02772742323577404,0.01206710375845432,0.02663867548108101,0.003872662782669067,0.0001632124185562134,-0.009367287158966064,XArbitraryZVertical,-0.1000971489493215,-0.06980214741232024,-0.8620611302350851,-0.4918931170725184,-0.1039093285799026,-0.2188216298818588,-0.9702164530754089,0,0,0,-1,-1,16180.22689541667,walking,2,2021-04-05 21:51:42.456 -0400,2021-04-05 19:23:45.401 -0400,774,1.458092,0,0,572.4493,0,0,2021-04-05 21:51:09.036 -0400,639366707.6002516,0,-2.68,98.19874,1,0.64
2021-04-05 21:51:48.303 -0400,0,0,0,0,0,0,0,0,0,16186.08523291667,-0.1040802001953125,-0.2202301025390625,-0.970306396484375,16186.07516191667,2.116649606389893,-0.1060595270253923,0.2216936191392988,0.01886814087629318,0.02440389059484005,-0.004585073795169592,0.001875318586826324,0.0003844648599624634,-0.007692456245422363,XArbitraryZVertical,-0.1000764790243268,-0.07044313306803075,-0.8620938267544748,-0.4917485535021083,-0.1032700091600418,-0.2198821008205414,-0.9700449109077454,0,0,0,-1,-1,16180.22689541667,walking,2,2021-04-05 21:51:42.456 -0400,2021-04-05 19:23:45.401 -0400,774,1.458092,0,0,572.4493,0,0,2021-04-05 21:51:09.036 -0400,639366707.6002516,0,-2.68,98.19874,1,0.64
2021-04-05 21:51:48.343 -0400,0,0,0,0,0,0,0,0,0,16186.12043891667,-0.0995025634765625,-0.2183990478515625,-0.967987060546875,16186.10534391667,2.116536150204277,-0.1052560658714001,0.2221724436301292,0.0159064494073391,0.003171080723404884,0.0002249116078019142,-0.0006547048687934875,0.001721292734146118,0.002630829811096191,XArbitraryZVertical,-0.09984945462681488,-0.07084278958406424,-0.8620768352124212,-0.4917669972502941,-0.1024795100092888,-0.2203491926193237,-0.9700227975845337,0,0,0,-1,-1,16180.22689541667,walking,2,2021-04-05 21:51:42.456 -0400,2021-04-05 19:23:45.401 -0400,774,1.458092,0,0,572.4493,0,0,2021-04-05 21:51:09.036 -0400,639366707.6002516,0,-2.68,98.19874,1,0.64
2021-04-05 21:51:48.373 -0400,0,0,0,0,0,0,0,0,0,16186.15563691667,-0.1038665771484375,-0.21649169921875,-0.9650421142578125,16186.13549491667,2.116730255812747,-0.1058602724933409,0.2223147207257229,-0.004655239172279835,-0.02992133982479572,0.01225793920457363,0.0020490363240242,0.002211019396781921,0.001957714557647705,XArbitraryZVertical,-0.1001372752262284,-0.07076566966915768,-0.862085671111938,-0.4917041461684228,-0.1030622720718384,-0.220487967133522,-0.9699295163154602,0,0,0,-1,-1,16180.22689541667,walking,2,2021-04-05 21:51:42.456 -0400,2021-04-05 19:23:45.401 -0400,774,1.458092,0,0,572.4493,0,0,2021-04-05 21:51:09.036 -0400,639366707.6002516,0,-2.68,98.19874,1,0.64
