55,56,59,62.33333333,59.66666667,58,60,56.66666667,58.33333333,56,53.66666667,57,50,54.66666667,53.66666667,43,59.33333333,55,56
66.66666667,55.66666667,56.58333333,57.5,58,56.33333333,60.66666667,56,56.66666667,60,56,58,58,54.33333333,57.66666667,61,55.33333333,53,56
54,55,52.66666667,55,53,51,51.33333333,56.66666667,52,48.66666667,53,53,51,50.66666667,55.33333333,48.66666667,48,47.33333333,52
57,57,59,68,49,61,56.66666667,55,56,59,54.33333333,57,56,56,55.66666667,57,53.66666667,53,52.66666667
55.66666667,55.66666667,57,58,57.33333333,55.66666667,53.33333333,59,58,57,54,52,56,49.66666667,52.66666667,50,53,48,48.66666667
57,56.33333333,57,55.66666667,56.33333333,54.66666667,59,52.66666667,55.33333333,52.66666667,57,51,55.33333333,53.33333333,48,55,52,52,52.66666667
58.66666667,50,56,55,57.33333333,54,52,55,56,60,62,51.33333333,55,51.33333333,51.33333333,54.66666667,57,52.66666667,54.33333333
57,59.66666667,57,58,54.66666667,53.66666667,62.33333333,61,60,57.33333333,59,53,61,53,55,51,52,49,46
54.66666667,56.5,62,62,54,58,55.33333333,57.66666667,50.66666667,51,51.33333333,47,49,48.33333333,48.33333333,47,39,45.33333333,47
54.66666667,55.66666667,56,56.66666667,55,60,52,57.66666667,55,56.66666667,56.33333333,59,57,50,49.66666667,49.33333333,49,44,44
51.66666667,53.33333333,52,59,52.66666667,58,50.66666667,51.66666667,51.33333333,47,50.33333333,53.33333333,46.33333333,48,44.66666667,40.66666667,44.33333333,34.66666667,32
56.33333333,57,56.66666667,55,56.33333333,53,56.66666667,60,54,52,54,54,57.33333333,56.66666667,51,52.66666667,47.33333333,46,48.33333333
59,51.66666667,50.66666667,56.66666667,52.66666667,49.66666667,49.33333333,47.33333333,53,54.66666667,52,50.33333333,53.33333333,53.66666667,45,44,46.33333333,42.33333333,43.66666667
