train4 base datetime,train4,train4 unix times,train4 velocity (m/s)
2021-04-05 21:44:20.000,1.8,1617659061.80,0
2021-04-05 21:44:20.000,3.11,1617659063.11,0.7633587786
2021-04-05 21:44:20.000,4.33,1617659064.33,0.8196721311
2021-04-05 21:44:20.000,5.48,1617659065.48,0.8695652174
2021-04-05 21:44:20.000,6.81,1617659066.81,0.7518796992
2021-04-05 21:44:20.000,8.23,1617659068.23,0.7042253521
2021-04-05 21:44:20.000,9.46,1617659069.46,0.8130081301
2021-04-05 21:44:20.000,11.67,1617659071.67,0.4524886878
2021-04-05 21:44:20.000,12.88,1617659072.88,0.826446281
2021-04-05 21:44:20.000,15.11,1617659075.11,0.4484304933
2021-04-05 21:44:20.000,16.3,1617659076.30,0.8403361345
2021-04-05 21:44:20.000,17.54,1617659077.54,0.8064516129
2021-04-05 21:44:20.000,18.8,1617659078.80,0.7936507937
2021-04-05 21:44:20.000,20.93,1617659080.93,0.4694835681
2021-04-05 21:44:20.000,22.05,1617659082.05,0.8928571429
2021-04-05 21:44:20.000,24.31,1617659084.31,0.4424778761
2021-04-05 21:44:20.000,26.23,1617659086.23,0.5208333333
2021-04-05 21:44:20.000,27.31,1617659087.31,0.9259259259
2021-04-05 21:44:20.000,28.6,1617659088.60,0.7751937984
2021-04-05 21:44:20.000,30.49,1617659090.49,0.5291005291
2021-04-05 21:44:20.000,31.39,1617659091.39,1.111111111
2021-04-05 21:44:20.000,32.62,1617659092.62,0.8130081301
2021-04-05 21:44:20.000,34.31,1617659094.31,0.5917159763
2021-04-05 21:44:20.000,36.27,1617659096.27,0.5102040816
2021-04-05 21:44:20.000,37.44,1617659097.44,0.8547008547
2021-04-05 21:44:20.000,38.58,1617659098.58,0.8771929825
2021-04-05 21:44:20.000,40.08,1617659100.08,0.6666666667
2021-04-05 21:44:20.000,41.61,1617659101.61,0.6535947712
2021-04-05 21:44:20.000,42.82,1617659102.82,0.826446281
2021-04-05 21:44:20.000,44.08,1617659104.08,0.7936507937
2021-04-05 21:44:20.000,45.3,1617659105.30,0.8196721311
2021-04-05 21:44:20.000,47.15,1617659107.15,0.5405405405
2021-04-05 21:44:20.000,48.23,1617659108.23,0.9259259259
2021-04-05 21:44:20.000,49.48,1617659109.48,0.8
2021-04-05 21:44:20.000,51.98,1617659111.98,0.4
2021-04-05 21:44:20.000,53,1617659113.00,0.9803921569
2021-04-05 21:44:20.000,54.29,1617659114.29,0.7751937984
2021-04-05 21:44:20.000,56.2,1617659116.20,0.5235602094
2021-04-05 21:44:20.000,57.36,1617659117.36,0.8620689655
2021-04-05 21:44:20.000,58.98,1617659118.98,0.6172839506
2021-04-05 21:44:20.000,60.78,1617659120.78,0.5555555556
