loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_Timestamp_since1970,IP_en0,IP_pdp_ip0,deviceID,deviceOrientationTimeStamp_since1970,deviceOrientation,batteryTimeStamp_since1970,batteryState,batteryLevel,avAudioRecorder_Timestamp_since1970,avAudioRecorderPeakPower,avAudioRecorderAveragePower,label
1617982136.037072,1,0,0,0,0,0,0,0,0,0,1617982136.035765,15.68222808837891,1.626308441162109,-40.49431991577148,280.0102233886719,287.0313110351562,13.6228084564209,26389.138372625,0.010894775390625,-0.130279541015625,-1.012725830078125,26389.133392625,-0.1427922993898392,-0.1350803226232529,0.02616475895047188,26389.109609625,92.11723327636719,19.04277038574219,-27.75933837890625,26389.114714625,0.7055047943151969,-0.007692038520078295,0.1504384375753839,-0.3413302898406982,-0.1291280835866928,0.02612464688718319,0.02593080699443817,-0.0312654972076416,-0.03756886720657349,2,0.07184551913664039,0.02236320114114438,0.3442313280209619,0.9358649311148046,-0.007605085615068674,-0.1498716324567795,-0.9886761903762817,16.03619384765625,1.158685684204102,-40.40453720092773,-1,2,26388.846207625,4,2,1617982135.761883,0,0,0,0,0,0,0,0,0,26385.907109,0,-0.2457581,97.3009,0,0,0,0,0,1,1617982136.009866,1,0.78,1617982136.037014,-25.70204,-44.79414,0
1617982136.045459,2,0,0,0,0,0,0,0,0,0,1617982136.035765,15.68222808837891,1.626308441162109,-40.49431991577148,280.0102233886719,287.0313110351562,13.6228084564209,26389.171993625,-0.0087738037109375,-0.1215972900390625,-1.034271240234375,26389.167012625,0.04242175817489624,-0.09397869557142258,-0.05801563337445259,26389.169603625,91.73992919921875,19.50735473632812,-27.78811645507812,26389.114714625,0.7055047943151969,-0.007692038520078295,0.1504384375753839,-0.3413302898406982,-0.1291280835866928,0.02612464688718319,0.02593080699443817,-0.0312654972076416,-0.03756886720657349,2,0.07184551913664039,0.02236320114114438,0.3442313280209619,0.9358649311148046,-0.007605085615068674,-0.1498716324567795,-0.9886761903762817,16.03619384765625,1.158685684204102,-40.40453720092773,-1,2,26388.846207625,4,2,1617982135.761883,0,0,0,0,0,0,0,0,0,26385.907109,0,-0.2457581,97.3009,0,0,0,0,0,1,1617982136.009866,1,0.78,1617982136.037014,-25.70204,-44.79414,0
1617982136.075397,3,0,0,0,0,0,0,0,0,0,1617982136.056017,15.70198822021484,1.568782806396484,-40.34439468383789,280.08447265625,287.1055603027344,13.62284278869629,26389.205613625,0.006805419921875,-0.16754150390625,-1.039230346679688,26389.200633625,-0.1667871177196503,-0.3913075625896454,-0.05203843489289284,26389.169603625,91.73992919921875,19.50735473632812,-27.78811645507812,26389.174483625,0.7048944673535084,-0.01311483439304236,0.1462779889651055,0.0001415163278579712,-0.1490105837583542,-0.0628482773900032,0.007359080947935581,0.01801028847694397,-0.04961347579956055,2,0.07083806131742139,0.01908637534871112,0.3438156511524129,0.9361669235041843,-0.01297440193593502,-0.1457568854093552,-0.9892353415489197,15.65007781982422,1.616971969604492,-40.41562652587891,-1,2,26388.846207625,4,2,1617982135.761883,0,0,0,0,0,0,0,0,0,26385.907109,0,-0.2457581,97.3009,0,0,0,0,0,1,1617982136.009866,1,0.78,1617982136.046159,-25.70204,-44.79414,0
1617982136.105523,4,0,0,0,0,0,0,0,0,0,1617982136.095735,15.33444213867188,1.502632141113281,-40.61559295654297,280.1875610351562,287.2086486816406,13.62291622161865,26389.239232625,-0.0423431396484375,-0.119049072265625,-0.9207000732421875,26389.234252625,-0.131578266620636,-0.161577969789505,-0.02087918296456337,26389.229593625,91.28279113769531,19.56346130371094,-28.10554504394531,26389.174483625,0.7048944673535084,-0.01311483439304236,0.1462779889651055,0.0001415163278579712,-0.1490105837583542,-0.0628482773900032,0.007359080947935581,0.01801028847694397,-0.04961347579956055,2,0.07083806131742139,0.01908637534871112,0.3438156511524129,0.9361669235041843,-0.01297440193593502,-0.1457568854093552,-0.9892353415489197,15.65007781982422,1.616971969604492,-40.41562652587891,-1,2,26388.846207625,4,2,1617982135.761883,0,0,0,0,0,0,0,0,0,26385.907109,0,-0.2457581,97.3009,0,0,0,0,0,1,1617982136.009866,1,0.78,1617982136.079581,-25.70204,-45.80992,0
1617982136.145022,5,0,0,0,0,0,0,0,0,0,1617982136.135569,14.80348968505859,1.88482666015625,-41.00564956665039,280.2875671386719,287.3086547851562,13.62297821044922,26389.272853625,-0.027740478515625,-0.1349639892578125,-0.938873291015625,26389.267871625,0.08642676472663879,0.06330280750989914,-0.05052735656499863,26389.229593625,91.28279113769531,19.56346130371094,-28.10554504394531,26389.234252625,0.7022884080701401,-0.02967422858742258,0.1369299174063254,-0.1431010663509369,-0.1671328991651535,-0.01847723312675953,-0.0129510723054409,0.01745331287384033,0.0695035457611084,2,0.06932133608285074,0.009630467561899083,0.3421757018304803,0.9370260315807584,-0.02939215674996376,-0.1365024149417877,-0.9902036190032959,15.22406005859375,1.621910095214844,-40.67723083496094,-1,2,26388.846207625,4,2,1617982135.761883,0,0,0,0,0,0,0,0,0,26386.853398,0,-0.3170776,97.30171,0,0,0,0,0,1,1617982136.009866,1,0.78,1617982136.11293,-25.70204,-46.55639,0
1617982136.175491,6,0,0,0,0,0,0,0,0,0,1617982136.155644,14.75267028808594,1.843265533447266,-40.99147796630859,280.3312377929688,287.3523254394531,13.62300586700439,26389.306472625,-0.013580322265625,-0.1544342041015625,-1.010101318359375,26389.301492625,-0.06932021677494049,-0.1048166900873184,-0.03287379443645477,26389.289584625,90.88375854492188,19.67607116699219,-28.42338562011719,26389.294021625,0.6996595312621734,-0.02795682841533436,0.13807048605097,-0.01991305500268936,-0.04806169122457504,-0.02976788021624088,0.007957467809319496,-0.01797695457935333,-0.01957768201828003,2,0.06957538019921139,0.01053984013438448,0.3409822665662994,0.9374323428877345,-0.02768716774880886,-0.1376322209835052,-0.9900963306427002,14.77301788330078,1.799417495727539,-41.01158905029297,-1,2,26388.846207625,4,2,1617982135.761883,0,0,0,0,0,0,0,0,0,26386.853398,0,-0.3170776,97.30171,0,0,0,0,0,1,1617982136.009866,1,0.78,1617982136.14597,-25.70204,-46.77521,0
1617982136.214928,7,0,0,0,0,0,0,0,0,0,1617982136.195456,14.65665435791016,1.946842193603516,-41.04845428466797,280.4022521972656,287.42333984375,13.62306118011475,26389.34009375,-0.0279388427734375,-0.1425933837890625,-1.000534057617188,26389.33511275,-0.2266752272844315,-0.2672578096389771,-0.01613422855734825,26389.289584625,90.88375854492188,19.67607116699219,-28.42338562011719,26389.294021625,0.6996595312621734,-0.02795682841533436,0.13807048605097,-0.01991305500268936,-0.04806169122457504,-0.02976788021624088,0.007957467809319496,-0.01797695457935333,-0.01957768201828003,2,0.06957538019921139,0.01053984013438448,0.3409822665662994,0.9374323428877345,-0.02768716774880886,-0.1376322209835052,-0.9900963306427002,14.77301788330078,1.799417495727539,-41.01158905029297,-1,2,26388.846207625,4,2,1617982135.761883,0,0,0,0,0,0,0,0,0,26386.853398,0,-0.3170776,97.30171,0,0,0,0,0,1,1617982136.009866,1,0.78,1617982136.21303,-25.70204,-41.80648,0
1617982136.24909,8,0,0,0,0,0,0,0,0,0,1617982136.234992,14.35914611816406,2.247774124145508,-40.97622680664062,280.4746398925781,287.4957275390625,13.62311744689941,26389.37371275,-0.0626373291015625,-0.1309661865234375,-0.9810791015625,26389.36873175,-0.1605204343795776,-0.1406101137399673,-0.00609437795355916,26389.34957475,90.51528930664062,20.11936950683594,-28.43650817871094,26389.35379075,0.6977907225077388,-0.04033790921212517,0.1266160171450434,-0.28730309009552,-0.2039655596017838,-0.0246504619717598,-0.0003249198198318481,0.001338988542556763,-0.007652401924133301,2,0.06632260648622711,0.002709073096075355,0.3399066303116819,0.9381138733237041,-0.04000414907932281,-0.1262779831886292,-0.9911879301071167,14.44548034667969,2.203582763671875,-41.06364059448242,-1,2,26388.846207625,4,2,1617982135.761883,0,0,0,0,0,0,0,0,0,26386.853398,0,-0.3170776,97.30171,0,0,0,0,0,1,1617982136.009866,1,0.78,1617982136.21303,-25.70204,-41.80648,0
1617982136.274984,9,0,0,0,0,0,0,0,0,0,1617982136.255055,14.10087585449219,2.51609992980957,-41.09473037719727,280.4687194824219,287.4898071289062,13.62314605712891,26389.40733275,-0.056854248046875,-0.1193084716796875,-1.001846313476562,26389.40235275,0.06665173172950745,0.01831349357962608,0.04703222215175629,26389.34957475,90.51528930664062,20.11936950683594,-28.43650817871094,26389.35379075,0.6977907225077388,-0.04033790921212517,0.1266160171450434,-0.28730309009552,-0.2039655596017838,-0.0246504619717598,-0.0003249198198318481,0.001338988542556763,-0.007652401924133301,2,0.06632260648622711,0.002709073096075355,0.3399066303116819,0.9381138733237041,-0.04000414907932281,-0.1262779831886292,-0.9911879301071167,14.44548034667969,2.203582763671875,-41.06364059448242,-1,2,26388.846207625,4,2,1617982135.761883,0,0,0,0,0,0,0,0,0,26386.853398,0,-0.3170776,97.30171,0,0,0,0,0,1,1617982136.009866,1,0.78,1617982136.260092,-26.8166,-42.97729,0
1617982136.319386,10,0,0,0,0,0,0,0,0,0,1617982136.314787,13.90565490722656,2.66364860534668,-41.17704772949219,280.3958129882812,287.4169006347656,13.62322998046875,26389.44095375,-0.0688934326171875,-0.1036529541015625,-1.010330200195312,26389.43597175,0.02833763137459755,0.01605140417814255,-0.01823573000729084,26389.40956175,90.08273315429688,20.65618896484375,-28.50299072265625,26389.41355875,0.698848105118771,-0.04276806868742678,0.1242107749467267,0.04360799491405487,0.02384108304977417,0.02807789854705334,-0.02662046998739243,0.01582885533571243,-0.007146716117858887,2,0.06560781582372595,0.00119213455502053,0.340371627351893,0.9379986841426357,-0.04242563620209694,-0.1238916292786598,-0.9913883805274963,13.98393249511719,2.750555038452148,-41.1273307800293,-1,2,26388.846207625,4,2,1617982135.761883,0,0,0,0,0,0,0,0,0,26386.853398,0,-0.3170776,97.30171,0,0,0,0,0,1,1617982136.009866,1,0.78,1617982136.319341,-28.48843,-43.30645,0
