50,50.33333333,51.33333333,49.66666667,49.66666667,53,54.33333333,51.33333333,54,50.66666667,57.33333333,50.66666667,55,50,53,59.66666667,60.33333333,55,50.33333333
46.66666667,46.66666667,51.5,50.66666667,50,49,50.33333333,54.33333333,50.66666667,53,52,51,51,51,51.66666667,49,52.66666667,55,58.33333333
44.66666667,46.33333333,53.33333333,46,46.66666667,52,46.33333333,49.33333333,48,47.66666667,50.66666667,47,55,52.33333333,49.33333333,53.66666667,50,50,55.33333333
53.33333333,49.66666667,51.33333333,53.66666667,52.66666667,54,49,51.66666667,48,54,50.66666667,53,50.33333333,56,51,50,56,54.66666667,53.33333333
47.66666667,54,49,47.66666667,44.33333333,50.33333333,48.66666667,54,49,48.66666667,51.33333333,54,49,44.66666667,49,48,48.33333333,49.66666667,55
54.66666667,47.66666667,44.66666667,44.33333333,51,52.33333333,55,49.66666667,60.33333333,55,53,56,54.33333333,49.66666667,57,53.33333333,54,53.33333333,56
41.66666667,42,38.66666667,51.66666667,49,51,53,50.66666667,54,51,55,55,57,52.33333333,54.66666667,56.66666667,59.66666667,53,49.33333333
44,52.33333333,42,48,55,48,50.66666667,51,51.33333333,50,53,50,52,51,56,54,57,60.33333333,57
42,43.66666667,44.33333333,44.33333333,47,53,54,51.33333333,55,57.66666667,56.33333333,51,52.66666667,56,56,57.33333333,58,59,56.33333333
33.66666667,41.66666667,41.66666667,50.33333333,46,45,47.66666667,50,46.33333333,49,49,49.66666667,50,53,51.33333333,51.33333333,51.66666667,59,54
46.33333333,35,46.66666667,47,50,54,51.66666667,50.66666667,52.33333333,48.66666667,51,51,58.66666667,55.33333333,58,51,54.33333333,59,60.33333333
28.66666667,42,45,42.33333333,48.66666667,37.33333333,41,44.66666667,43.66666667,47.33333333,46.33333333,46,52.33333333,51,53,48.33333333,50,56.33333333,52.66666667
33,41,46.33333333,46.33333333,45.66666667,45,49.66666667,46,49,51.33333333,49.66666667,51,53.33333333,52.33333333,54,52,53.66666667,53.33333333,52.66666667
