loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_Timestamp_since1970,IP_en0,IP_pdp_ip0,deviceID,deviceOrientationTimeStamp_since1970,deviceOrientation,batteryTimeStamp_since1970,batteryState,batteryLevel,avAudioRecorder_Timestamp_since1970,avAudioRecorderPeakPower,avAudioRecorderAveragePower,label
1617672707.320757,1,0,0,0,0,0,0,0,0,0,1617672707.315822,-15.18033218383789,-0.5357475280761719,-29.41264343261719,41.59102630615234,48.62059783935547,15.85454082489014,1046909.75559825,0.0199737548828125,-0.0590362548828125,-0.9946441650390625,1046909.75808825,0.0971827432513237,0.06710020452737808,0.05394845455884933,1046909.74579025,-3.666854858398438,33.98977661132812,-100.4168548583984,1046909.69582725,-1.59113927611849,0.02037999317041637,0.06198100830967088,0.08687944710254669,0.06312599033117294,-0.1018128395080566,-0.01184020005166531,-0.01073627173900604,-0.01051980257034302,2,-0.02895968544663191,0.01500245297467027,0.71366139014449,-0.6997311533816428,0.02033945173025131,-0.06194132938981056,-0.997872531414032,-15.14894676208496,-0.5266227722167969,-29.28156280517578,-1,2,1046909.397763917,2,0,1617672706.931171,1617670944.349944,97,1.77341,0,0,65.01641,0,0,1617672684.62291,1046906.655538,0,-1.878693,98.16064,0,0,0,0,0,1,1617672707.292254,1,0.14,1617672707.320699,-23.15483,-30.40843,0
1617672707.321225,2,0,0,0,0,0,0,0,0,0,1617672707.315822,-15.18033218383789,-0.5357475280761719,-29.41264343261719,41.59102630615234,48.62059783935547,15.85454082489014,1046909.78921825,0.0154571533203125,-0.0556640625,-0.926116943359375,1046909.75808825,0.0971827432513237,0.06710020452737808,0.05394845455884933,1046909.74579025,-3.666854858398438,33.98977661132812,-100.4168548583984,1046909.75559825,-1.590520778088507,0.02116828556119528,0.05802242383868495,0.0553797073662281,0.02739283442497253,0.06370855867862701,-0.003888547420501709,0.01634864881634712,0.04589933156967163,2,-0.02786097306416877,0.01330458277965101,0.7134905441364152,-0.6999842542570758,0.02113108523190022,-0.05798987299203873,-0.9980934858322144,-15.11584663391113,-0.6217384338378906,-29.28315734863281,-1,2,1046909.397763917,2,0,1617672706.931171,1617670944.349944,97,1.77341,0,0,65.01641,0,0,1617672684.62291,1046906.655538,0,-1.878693,98.16064,0,0,0,0,0,1,1617672707.292254,1,0.14,1617672707.320699,-23.15483,-30.40843,0
1617672707.351155,3,0,0,0,0,0,0,0,0,0,1617672707.335843,-14.95043849945068,-0.6563682556152344,-29.46799468994141,41.67129135131836,48.70086288452148,15.85451221466064,1046909.82283925,0.031707763671875,-0.0609893798828125,-0.9428253173828125,1046909.79170825,0.3671580255031586,0.491525799036026,-0.04242468997836113,1046909.80577025,-3.4764404296875,34.00848388671875,-100.6305847167969,1046909.75559825,-1.590520778088507,0.02116828556119528,0.05802242383868495,0.0553797073662281,0.02739283442497253,0.06370855867862701,-0.003888547420501709,0.01634864881634712,0.04589933156967163,2,-0.02786097306416877,0.01330458277965101,0.7134905441364152,-0.6999842542570758,0.02113108523190022,-0.05798987299203873,-0.9980934858322144,-15.11584663391113,-0.6217384338378906,-29.28315734863281,-1,2,1046909.397763917,2,0,1617672706.931171,1617670944.349944,97,1.77341,0,0,65.01641,0,0,1617672684.62291,1046906.655538,0,-1.878693,98.16064,0,0,0,0,0,1,1617672707.292254,1,0.14,1617672707.328798,-23.15483,-30.40843,0
1617672707.385683,4,0,0,0,0,0,0,0,0,0,1617672707.375863,-14.22717475891113,-1.158100128173828,-29.83293151855469,41.95031356811523,48.97988510131836,15.85458660125732,1046909.85646125,0.088836669921875,-0.1028900146484375,-1.0733642578125,1046909.82533025,0.5388850569725037,0.8223242163658142,-0.08647869527339935,1046909.80577025,-3.4764404296875,34.00848388671875,-100.6305847167969,1046909.81536925,-1.592444546699227,0.04554925306097149,0.07681297723188092,0.4685502946376801,0.7317390441894531,-0.07088443636894226,-0.01254695653915405,0.01536662131547928,0.0494840145111084,2,-0.04311242857504122,0.01152026445830644,0.7133951703155185,-0.699339653381067,0.04539924114942551,-0.07673746347427368,-0.9960172176361084,-14.81742668151855,-0.7411003112792969,-29.436767578125,-1,2,1046909.397763917,2,0,1617672706.931171,1617670944.349944,97,1.77341,0,0,65.01641,0,0,1617672684.62291,1046906.655538,0,-1.878693,98.16064,0,0,0,0,0,1,1617672707.292254,1,0.14,1617672707.362142,-22.35145,-30.97143,0
1617672707.422709,5,0,0,0,0,0,0,0,0,0,1617672707.415488,-13.33119964599609,-2.112087249755859,-30.33086395263672,42.17550277709961,49.20507431030273,15.85466003417969,1046909.89008125,0.108612060546875,-0.1280517578125,-1.047195434570312,1046909.85895125,0.5596787333488464,0.4190824925899506,-0.08785714954137802,1046909.86574325,-2.215011596679688,33.03118896484375,-101.3484344482422,1046909.87513925,-1.599804462028039,0.08069165751771981,0.1081773291327187,0.3120749592781067,0.1490375101566315,-0.06228416413068771,0.02815878391265869,-0.01747603714466095,-0.06460696458816528,2,-0.06652811664756858,0.01068336459224132,0.7141367321427698,-0.6967557717220725,0.08013295382261276,-0.1079664677381516,-0.9909197688102722,-13.51861953735352,-1.850425720214844,-30.26411437988281,-1,2,1046909.397763917,2,0,1617672706.931171,1617670944.349944,97,1.77341,0,0,65.01641,0,0,1617672684.62291,1046906.655538,0,-1.878693,98.16064,0,0,0,0,0,1,1617672707.292254,1,0.14,1617672707.395472,-22.35145,-30.15117,0
1617672707.445107,6,0,0,0,0,0,0,0,0,0,1617672707.435906,-13.18418598175049,-2.385578155517578,-30.38703918457031,42.20771408081055,49.23728561401367,15.85469818115234,1046909.92370225,0.0948333740234375,-0.1180267333984375,-0.999847412109375,1046909.89257125,0.007966846227645874,-0.063715860247612,-0.04374907910823822,1046909.86574325,-2.215011596679688,33.03118896484375,-101.3484344482422,1046909.87513925,-1.599804462028039,0.08069165751771981,0.1081773291327187,0.3120749592781067,0.1490375101566315,-0.06228416413068771,0.02815878391265869,-0.01747603714466095,-0.06460696458816528,2,-0.06652811664756858,0.01068336459224132,0.7141367321427698,-0.6967557717220725,0.08013295382261276,-0.1079664677381516,-0.9909197688102722,-13.51861953735352,-1.850425720214844,-30.26411437988281,-1,2,1046909.397763917,2,0,1617672706.931171,1617670944.349944,97,1.77341,0,0,65.01641,0,0,1617672684.62291,1046906.655538,0,-1.878693,98.16064,0,0,0,0,0,1,1617672707.292254,1,0.14,1617672707.42841,-22.35145,-29.48483,0
1617672707.484771,7,0,0,0,0,0,0,0,0,0,1617672707.475457,-13.34425830841064,-2.198272705078125,-30.28715515136719,42.24470520019531,49.27427673339844,15.85477352142334,1046909.95732425,0.0773468017578125,-0.076690673828125,-1.0218505859375,1046909.92619425,-0.223555326461792,-0.146746039390564,-0.02521108090877533,1046909.92571625,-1.754180908203125,32.23796081542969,-101.3292236328125,1046909.93491025,-1.601564339235341,0.07505022313414192,0.1028277017510894,-0.1827982366085052,-0.1347835510969162,-0.02728606574237347,0.008012197911739349,0.0109107568860054,-0.01854968070983887,2,-0.06264796053314829,0.01078552034375317,0.7151052825506312,-0.6961202160548816,0.0745837390422821,-0.1026465892791748,-0.9919177889823914,-13.27554225921631,-2.320468902587891,-30.24772644042969,-1,2,1046909.397763917,2,0,1617672706.931171,1617670944.349944,97,1.77341,0,0,65.01641,0,0,1617672684.62291,1046906.655538,0,-1.878693,98.16064,0,0,0,0,0,1,1617672707.292254,1,0.14,1617672707.481391,-22.35145,-29.32553,0
1617672707.515207,8,0,0,0,0,0,0,0,0,0,1617672707.496148,-13.47873878479004,-1.968624114990234,-30.20149230957031,42.35375213623047,49.38332366943359,15.85480880737305,1046909.99094425,0.073455810546875,-0.08612060546875,-1.021255493164062,1046909.95981425,0.08789417147636414,-0.0974474623799324,-0.08985372632741928,1046909.98569225,-2.056594848632812,32.53752136230469,-101.2047424316406,1046909.93491025,-1.601564339235341,0.07505022313414192,0.1028277017510894,-0.1827982366085052,-0.1347835510969162,-0.02728606574237347,0.008012197911739349,0.0109107568860054,-0.01854968070983887,2,-0.06264796053314829,0.01078552034375317,0.7151052825506312,-0.6961202160548816,0.0745837390422821,-0.1026465892791748,-0.9919177889823914,-13.27554225921631,-2.320468902587891,-30.24772644042969,-1,2,1046909.397763917,2,0,1617672706.931171,1617670944.349944,97,1.77341,0,0,65.01641,0,0,1617672684.62291,1046906.655538,0,-1.878693,98.16064,0,0,0,0,0,1,1617672707.292254,1,0.14,1617672707.495724,-22.35145,-29.32553,0
1617672707.554971,9,0,0,0,0,0,0,0,0,0,1617672707.535258,-13.52329635620117,-2.228313446044922,-30.23124694824219,42.76421356201172,49.79378509521484,15.85488414764404,1046910.02456725,0.0690460205078125,-0.1363677978515625,-0.99676513671875,1046910.02705725,0.3357154130935669,-0.001470064860768616,-0.1129622384905815,1046909.98569225,-2.056594848632812,32.53752136230469,-101.2047424316406,1046909.99468125,-1.608310926692355,0.07041911112879394,0.1092630375164349,0.3580169975757599,-0.03204645588994026,-0.1643894612789154,0.004094399511814117,0.004431523382663727,-0.01881808042526245,2,-0.06317307626395506,0.01492004761550909,0.7173912709397597,-0.6936399497865544,0.06994134187698364,-0.1090457662940025,-0.9915730953216553,-13.52244472503662,-2.171768188476562,-30.13255310058594,-1,2,1046909.397763917,2,0,1617672706.931171,1617670944.349944,97,1.77341,0,0,65.01641,0,0,1617672684.62291,1046906.655538,0,-1.878693,98.16064,0,0,0,0,0,1,1617672707.292254,1,0.14,1617672707.540025,-21.10078,-29.70291,0
1617672707.59206,10,0,0,0,0,0,0,0,0,0,1617672707.575096,-13.39755153656006,-2.926246643066406,-30.07225799560547,43.06914901733398,50.09872055053711,15.85495948791504,1046910.05818725,0.0720062255859375,-0.1509246826171875,-0.9827880859375,1046910.02705725,0.3357154130935669,-0.001470064860768616,-0.1129622384905815,1046910.04566725,-1.959243774414062,31.72459411621094,-101.2382659912109,1046909.99468125,-1.608310926692355,0.07041911112879394,0.1092630375164349,0.3580169975757599,-0.03204645588994026,-0.1643894612789154,0.004094399511814117,0.004431523382663727,-0.01881808042526245,2,-0.06317307626395506,0.01492004761550909,0.7173912709397597,-0.6936399497865544,0.06994134187698364,-0.1090457662940025,-0.9915730953216553,-13.52244472503662,-2.171768188476562,-30.13255310058594,-1,2,1046910.04204525,1,2,1617672707.575452,1617670944.349944,97,1.77341,0,0,65.01641,0,0,1617672684.62291,1046907.603391,0,-1.931519,98.16125,0,0,0,0,0,1,1617672707.292254,1,0.14,1617672707.56236,-21.10078,-29.80305,0
