train2 base datetime,train2,train2 unix times,train2 velocity (m/s)
4/9/2021 11:29,3.15,1617967747,0
4/9/2021 11:29,6,1617967750,0.350877193
4/9/2021 11:29,10.45,1617967754,0.224719101
4/9/2021 11:29,16.42,1617967760,0.167504188
4/9/2021 11:29,19.87,1617967764,0.289855073
4/9/2021 11:29,23.8,1617967768,0.254452926
4/9/2021 11:29,29.42,1617967773,0.177935943
4/9/2021 11:29,33.03,1617967777,0.27700831
4/9/2021 11:29,38.54,1617967783,0.181488203
4/9/2021 11:29,43.17,1617967787,0.215982721
4/9/2021 11:29,46.77,1617967791,0.277777778
4/9/2021 11:29,51.54,1617967796,0.209643606
4/9/2021 11:29,54.23,1617967798,0.371747212
4/9/2021 11:29,56.92,1617967801,0.371747212
4/9/2021 11:29,61.95,1617967806,0.198807157
