loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
53:36.4,0,0,0,0,0,0,0,0,0,11374.07741,-0.036117554,0.008743286,-1.006774902,11374.06233,-0.048915341,0.019059042,-0.010987546,-0.021096807,0.000569248,-0.00994873,XArbitraryZVertical,0.000653281,-0.009546419,0.144978547,0.989388546,-0.019079659,0.001475354,-0.999816895,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.4,0,0,0,0,0,0,0,0,0,11374.11263,-0.028030396,0.004928589,-1.003662109,11374.09252,-0.013895162,0.014469596,-0.021723699,-0.020061076,0.001003715,-0.00652647,XArbitraryZVertical,-0.000111303,-0.009849846,0.144674966,0.98943015,-0.019459262,0.003070306,-0.999805927,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.4,0,0,0,0,0,0,0,0,0,11374.14781,-0.024642944,-0.000259399,-1.00012207,11374.12267,-0.012285038,0.000195237,-0.038417291,-0.007388974,-0.001545007,-0.00197053,XArbitraryZVertical,-0.000324476,-0.010007273,0.144217072,0.989495384,-0.01971071,0.003528574,-0.99979949,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.5,0,0,0,0,0,0,0,0,0,11374.18303,-0.017166138,-0.00642395,-1.014297485,11374.18303,0.037321329,0.018627938,-0.040029202,0.002851255,-0.004340871,-0.012181699,XArbitraryZVertical,-0.000197483,-0.010457647,0.142890714,0.989683182,-0.020643078,0.003379492,-0.999781191,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.5,0,0,0,0,0,0,0,0,0,11374.21822,-0.018112183,-0.011505127,-1.011260986,11374.21318,0.03754396,-0.00861491,-0.027056728,0.004375543,-0.010558398,-0.012668788,XArbitraryZVertical,0.000328255,-0.010426541,0.142346607,0.989761914,-0.020733038,0.002318576,-0.999782383,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.5,0,0,0,0,0,0,0,0,0,11374.2534,-0.019226074,-0.007705688,-0.996429443,11374.24336,0.032749448,-0.024740819,-0.015442648,0.006654931,-0.008049111,-0.004685521,XArbitraryZVertical,0.000927204,-0.01068232,0.141980099,0.989811454,-0.021410255,0.001197839,-0.999770045,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.6,0,0,0,0,0,0,0,0,0,11374.28862,-0.015396118,-0.003234863,-0.994995117,11374.27352,0.047841884,-0.024549216,-0.00817713,0.008177046,-0.007012345,0.003695369,XArbitraryZVertical,0.001637087,-0.010863829,0.141824616,0.989830849,-0.021971064,-0.000159361,-0.999758601,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.6,0,0,0,0,0,0,0,0,0,11374.32381,-0.010971069,0.001815796,-0.999664307,11374.3037,0.044117618,-0.004476132,0.016279427,0.003829926,0.003527566,0.006558299,XArbitraryZVertical,0.002479549,-0.010836413,0.141869527,0.989823001,-0.022155806,-0.001833916,-0.99975282,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.6,0,0,0,0,0,0,0,0,0,11374.359,-0.012542725,-0.006484985,-0.990341187,11374.33388,0.023468377,-0.000425607,0.02193515,0.011022052,0.008081577,-0.002079427,XArbitraryZVertical,0.003055031,-0.0107176,0.142156374,0.989781426,-0.022084747,-0.003000475,-0.999751627,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
53:36.7,0,0,0,0,0,0,0,0,0,11374.39421,-0.024490356,0.004180908,-0.990219116,11374.39421,0.003999793,0.020577148,0.038870376,-0.0008802,0.009255324,0.009877205,XArbitraryZVertical,0.003094455,-0.010494377,0.143099259,0.989647847,-0.021657104,-0.003121366,-0.999760568,0,0,0,-1,-1,11365.78026,unknown,2,53:28.1,47:42.0,20,2.267731,0,0,14.11,0,0,50:58.8,637307615.8,0,1.039999,99.51485,1,0.92
